CallFile,Year,Dialect,Site,UniqueBird,UniqueCall
2005_06_04_PEAL_B1_C1.aif,2005,Nor,PEAL,PEAL_B1,PEAL_B1_C1
2005_06_04_PEAL_B1_C2.aif,2005,Nor,PEAL,PEAL_B1,PEAL_B1_C2
2005_06_04_PEAL_B1_C3.aif,2005,Nor,PEAL,PEAL_B1,PEAL_B1_C3
2005_06_04_PEAL_B2_C1.aif,2005,Nor,PEAL,PEAL_B2,PEAL_B2_C1
2005_06_04_PEAL_B2_C2.aif,2005,Nor,PEAL,PEAL_B2,PEAL_B2_C2
2005_06_04_PEAL_B2_C3.aif,2005,Nor,PEAL,PEAL_B2,PEAL_B2_C3
2005_06_04_PEAL_B2_C4.aif,2005,Nor,PEAL,PEAL_B2,PEAL_B2_C4
2005_06_04_PEAL_B3_C1.aif,2005,Nor,PEAL,PEAL_B3,PEAL_B3_C1
2005_06_04_PEAL_B3_C2.aif,2005,Nor,PEAL,PEAL_B3,PEAL_B3_C2
2005_06_04_PEAL_B3_C3.aif,2005,Nor,PEAL,PEAL_B3,PEAL_B3_C3
2005_06_04_PEAL_B3_C4.aif,2005,Nor,PEAL,PEAL_B3,PEAL_B3_C4
2005_06_04_PEAL_B4_C1.aif,2005,Nor,PEAL,PEAL_B4,PEAL_B4_C1
2005_06_04_PEAL_B4_C2.aif,2005,Nor,PEAL,PEAL_B4,PEAL_B4_C2
2005_06_04_PEAL_B4_C3.aif,2005,Nor,PEAL,PEAL_B4,PEAL_B4_C3
2005_06_04_PEAL_B4_C4.aif,2005,Nor,PEAL,PEAL_B4,PEAL_B4_C4
2005_06_04_PEAL_B5_C1.aif,2005,Nor,PEAL,PEAL_B5,PEAL_B5_C1
2005_06_04_PEAL_B5_C2.aif,2005,Nor,PEAL,PEAL_B5,PEAL_B5_C2
2005_06_04_PEAL_B5_C3.aif,2005,Nor,PEAL,PEAL_B5,PEAL_B5_C3
2005_06_04_PEAL_B5_C4.aif,2005,Nor,PEAL,PEAL_B5,PEAL_B5_C4
2005_06_04_PEAL_B5_C5.aif,2005,Nor,PEAL,PEAL_B5,PEAL_B5_C5
2005_06_04_PEAL_B5_C6.aif,2005,Nor,PEAL,PEAL_B5,PEAL_B5_C6
2005_06_04_PEAL_B5_C7.aif,2005,Nor,PEAL,PEAL_B5,PEAL_B5_C7
2005_06_04_PEAL_B5_C8.aif,2005,Nor,PEAL,PEAL_B5,PEAL_B5_C8
2005_06_04_PEAL_B5_C9.aif,2005,Nor,PEAL,PEAL_B5,PEAL_B5_C9
2005_06_04_PEAL_B6_C1.aif,2005,Nor,PEAL,PEAL_B6,PEAL_B6_C1
2005_06_04_PEAL_B6_C2.aif,2005,Nor,PEAL,PEAL_B6,PEAL_B6_C2
2005_06_04_PEAL_B6_C3.aif,2005,Nor,PEAL,PEAL_B6,PEAL_B6_C3
2005_06_04_PEAL_B6_C4.aif,2005,Nor,PEAL,PEAL_B6,PEAL_B6_C4
2005_06_04_PEAL_B7_C0.aif,2005,Nor,PEAL,PEAL_B7,PEAL_B7_C0
2005_06_04_PEAL_B7_C1.aif,2005,Nor,PEAL,PEAL_B7,PEAL_B7_C1
2005_06_04_PEAL_B7_C2.aif,2005,Nor,PEAL,PEAL_B7,PEAL_B7_C2
2005_06_04_PEAL_B7_C3.aif,2005,Nor,PEAL,PEAL_B7,PEAL_B7_C3
2005_06_04_PEAL_B7_C4.aif,2005,Nor,PEAL,PEAL_B7,PEAL_B7_C4
2005_06_04_PEAL_B7_C5.aif,2005,Nor,PEAL,PEAL_B7,PEAL_B7_C5
2005_06_04_PEAL_B7_C6.aif,2005,Nor,PEAL,PEAL_B7,PEAL_B7_C6
2005_06_04_PEAL_B7_C7.aif,2005,Nor,PEAL,PEAL_B7,PEAL_B7_C7
2005_06_04_PEAL_B7_C8.aif,2005,Nor,PEAL,PEAL_B7,PEAL_B7_C8
2005_06_04_PEAL_B7_C9.aif,2005,Nor,PEAL,PEAL_B7,PEAL_B7_C9
2005_06_04_PEAL_B8_C0.aif,2005,Nor,PEAL,PEAL_B8,PEAL_B8_C0
2005_06_04_PEAL_B8_C1.aif,2005,Nor,PEAL,PEAL_B8,PEAL_B8_C1
2005_06_04_PEAL_B8_C2.aif,2005,Nor,PEAL,PEAL_B8,PEAL_B8_C2
2005_06_04_PEAL_B8_C3.aif,2005,Nor,PEAL,PEAL_B8,PEAL_B8_C3
2005_06_04_PEAL_B8_C4.aif,2005,Nor,PEAL,PEAL_B8,PEAL_B8_C4
2005_06_04_PEAL_B8_C5.aif,2005,Nor,PEAL,PEAL_B8,PEAL_B8_C5
2005_06_04_PEAL_B8_C6.aif,2005,Nor,PEAL,PEAL_B8,PEAL_B8_C6
2005_06_04_PEAL_B8_C7.aif,2005,Nor,PEAL,PEAL_B8,PEAL_B8_C7
2005_06_04_PEAL_B8_C8.aif,2005,Nor,PEAL,PEAL_B8,PEAL_B8_C8
2005_06_04_PEAL_B8_C9.aif,2005,Nor,PEAL,PEAL_B8,PEAL_B8_C9
2005_06_04x_PEAL_B1_C1.aif,2005,Nor,_PEA,_PEA__B1_C,_PEAL_B1_C1
2005_06_05_AHOG_B1_C0.aif,2005,Nor,AHOG,AHOG_B1,AHOG_B1_C0
2005_06_05_AHOG_B1_C1.aif,2005,Nor,AHOG,AHOG_B1,AHOG_B1_C1
2005_06_05_AHOG_B1_C2.aif,2005,Nor,AHOG,AHOG_B1,AHOG_B1_C2
2005_06_05_AHOG_B1_C3.aif,2005,Nor,AHOG,AHOG_B1,AHOG_B1_C3
2005_06_05_AHOG_B1_C4.aif,2005,Nor,AHOG,AHOG_B1,AHOG_B1_C4
2005_06_05_AHOG_B1_C5.aif,2005,Nor,AHOG,AHOG_B1,AHOG_B1_C5
2005_06_05_AHOG_B1_C6.aif,2005,Nor,AHOG,AHOG_B1,AHOG_B1_C6
2005_06_05_AHOG_B1_C7.aif,2005,Nor,AHOG,AHOG_B1,AHOG_B1_C7
2005_06_05_AHOG_B1_C8.aif,2005,Nor,AHOG,AHOG_B1,AHOG_B1_C8
2005_06_05_AHOG_B1_C9.aif,2005,Nor,AHOG,AHOG_B1,AHOG_B1_C9
2005_06_05_AHOG_B2_C0.aif,2005,Nor,AHOG,AHOG_B2,AHOG_B2_C0
